,names,locations
0,sippintequila,
1,amystanley4242,
2,tinyboo49,NYC
3,CoffeyJ317,"Ohio, USA"
4,Mikedee0923,
5,vickibazter,Tennessee
6,oldairforcedude,
7,crserviceco,New Mexico
8,Angelamarytayl1,"Florida, USA"
9,newkingofmedia,
10,PieterJCVedder,"Georgia, USA"
11,BettyGr25700576,
12,elagski,
13,Grdguez_USA,
14,WatrottTrott,
15,cannibal_queen,"Boca Raton, FL, USA"
16,lisapmarcus,
17,kinthenorthwest,United States
18,thesajandesai,"South Carolina, USA"
19,_n2k18,
20,sassyandsmooth,"Georgia, USA"
21,eric_gilb,ðŸ‡ºðŸ‡¸
22,Rhonj86,
23,smrtassmouth,"United States, Ohio"
24,onecaliberal,
25,lor_knibbs,
26,egro1969,
27,mykindofsweet,
28,RepJill16,
29,marikyles,"Chicago, IL"
30,Intuitions1,
31,Shelbs_Mmkay,
32,MeNihaya,"Moore, OK"
33,traebordileau,United States
34,LastKni74530370,"Halifax, Nova Scotia"
35,le_ladydi410,
36,BoddenMarlen,
37,MaplesM78,"New York, NY"
38,TakeAStand2018,New to TN
39,wstockard,usa
40,timm8466,#USA #Southerner
41,MergTamergner,
42,TulipCassidy,new york
43,Beemer518,
44,zaylaanne150,The Midwest
45,AndysWorldView,
46,drewand1212,
47,NicoleMastropa1,
48,MoMaMrozowska,"Minnesota, USA"
49,BanTorture,
50,jammaboots,
51,KChick1968,
52,goodexists,
53,Disgusted_InTN,
54,aBombChele,The Ranch
55,jep22352,
56,gingerdr,Walla2 Wa.
57,Les_Aker,
58,Trendolizer,"Orange County, CA"
59,StateOfRae,"Texas, USA"
60,CDRCHOP,
61,BillBak9,"Las Vegas, NV"
62,ShirleyMArmenta,
63,ToastBaker,Phoenix Az.
64,natalielsauer,"Oregon, USA"
65,korn2005,"London, England"
66,JeffreyGrrr,United States
67,Billybobtn,USâ€”America
68,getbusy5,
69,kinthenorthwest,
70,StopFraud4,
71,Hottdread,
72,GailLuck9,
73,fralcarr,new york
74,sheeba4224,
75,shipman96,"Riverside, CA"
76,kinthenorthwest,Illinois
77,lukychmz,
78,ericandlil,"Arkansas, USA"
79,AERdiplo_5,United States
80,Stevoreno4,
81,NinevaNineva,Universe
82,dicrowthers,"Amelia, OH"
83,KCGCLCBC,
84,LindaMusgrove9,
85,GinoDMarchetti2,
86,onecaliberal,"Colorado, USA"
87,jammaboots,U.S. Capitol
88,KSchmidtKevin,
89,Crewof42,"South Carolina, USA"
90,MeloniaSherban,America
91,CassandraCorvid,
92,ChadwellRose,"Texas, USA"
93,ShazbotZulu,
94,tnhiwtnhaotw,Washington State
95,TakeMeRacing,"Detroit, MI"
96,jermstar86,
97,zoeannrtr,
98,joeanchor12,"Tallahassee, FL"
99,DaveOnderdonk,"Fairport, NY"
